..sc.,6549,193451,2533821198
.sb$,0,200000,0
..sb.,857,199143,341331102
^.sb,27,199973,10798542
..rz.,2101,197899,831571598
.rz$,14,199986,5599608
.sa$,1279,198721,508328318
^.sa,234,199766,93490488
..sa.,4652,195348,1817517792
.ry$,122,199878,48770232
^.ry,652,199348,259949792
..ry.,2440,197560,964092800
^.rz,1105,198895,439557950
^.r.,16226,183774,5963833848
.ry$,122,199878,48770232
.rw$,0,200000,0
..rw.,469,199531,187160078
^.ry,652,199348,259949792
..ry.,2440,197560,964092800
^.rw,24,199976,9598848
.r.$,8396,191604,3217414368
.rv$,6,199994,2399928
..rv.,1219,198781,484628078
^.rv,38,199962,15197112
.ru$,53,199947,21194382
^.ru,1030,198970,409878200
..r..,87842,112158,19704366072
..ru.,6365,193635,2464973550
..rt.,4267,195733,1670385422
.rt$,238,199762,95086712
.rq$,0,200000,0
^.rt,329,199671,131383518
..rq.,92,199908,36783072
.rs$,960,199040,382156800
^.rq,10,199990,3999800
^.rs,123,199877,49169742
..rs.,3647,196353,1432198782
.rr$,8,199992,3199872
..rr.,2399,197601,948089598
^.rr,203,199797,81117582
.rp$,8,199992,3199872
^.rp,65,199935,25991550
..rp.,1589,198411,630550158
.ro$,307,199693,122611502
.rn$,441,199559,176011038
..ro.,14332,185668,5321987552
.rm$,72,199928,28789632
..rn.,3663,196337,1438364862
^.ro,2787,197213,1099265262
^.rn,130,199870,51966200
..rm.,3347,196653,1316395182
^.rm,135,199865,53963550
.rl$,21,199979,8399118
.rk$,63,199937,25192062
..rk.,1777,198223,704484542
^.rl,50,199950,19995000
.rj$,0,200000,0
^.rk,70,199930,27990200
..rl.,1115,198885,443513550
^.rj,7,199993,2799902
..rj.,117,199883,46772622
.rh$,1,199999,399998
..rh.,1184,198816,470796288
^.rh,34,199966,13597688
.rg$,107,199893,42777102
^.rg,300,199700,119820000
..rg.,2199,197801,869928798
..ri.,16835,183165,6167165550
^.ri,2662,197338,1050627512
.rf$,37,199963,14797262
.ri$,1135,198865,451423550
..rf.,722,199278,287757432
^.rf,28,199972,11198432
..rd.,2543,197457,1004266302
.rd$,109,199891,43576238
^.rd,122,199878,48770232
.rc$,3,199997,1199982
.re$,1147,198853,456168782
..rc.,2041,197959,808068638
.rb$,7,199993,2799902
..re.,12201,187799,4582671198
^.re,2502,197498,988279992
^.rb,213,199787,85109262
.q.$,10,199990,3999800
^.rc,295,199705,117825950
..rb.,1680,198320,666355200
